"06_3928A_1x.cov","06_3928A_cov.sum","06_3928A_cov.sd","P17777_1x.cov","P17777_cov.sum","P17777_cov.sd"
"PITG_00040",3002,122548,19.5691308412034,2994,151838,27.8886828190149
"PITG_00041",57,487,6.46515698893629,51,231,2.84097278905561
"PITG_00042",362,18906,10.4050149604832,362,23057,9.1465392526502
"PITG_00043",2137,130387,14.6954026488435,2137,165979,14.7219723205757
"PITG_00044",610,38832,16.9119751108733,603,43440,13.5237002375418
"PITG_00045",4243,278900,13.9078836286336,4243,348590,13.9035378954603
"PITG_00046",2619,155140,11.4601428333149,2619,196600,13.5526208511455
"PITG_00047",2805,171608,16.9051287594344,2806,214772,14.0247673636948
"PITG_00048",1230,63383,11.2918357286254,1230,90716,10.5886495657492
"PITG_00049",1998,120659,18.175537492261,1998,148057,13.4584798269385
"PITG_00050",1919,114242,15.0140320021373,1919,142979,16.0234066119492
"PITG_00051",1293,73754,13.0950569554434,1293,84983,9.52751973242655
"PITG_00052",2870,189702,14.787401155529,2870,226955,13.7447649735517
"PITG_00053",1250,68188,19.2957539561581,1250,96451,14.8370028200491
"PITG_00054",911,41452,9.79727185227897,911,60302,12.1391202047647
"PITG_00055",1335,85562,11.915395498149,1335,107919,12.91725052337
"PITG_00056",1552,96599,12.4689786859301,1539,112729,17.8823408461124
"PITG_00058",519,24726,13.9036494917731,518,32884,14.7075494988115
"PITG_00059",936,63956,18.4236725647436,936,76106,14.3670057826227
"PITG_00060",647,40596,15.6452013026286,647,47446,8.13884494324929
"PITG_00061",321,18501,12.1632586017516,321,22732,14.850731859411
"PITG_00062",312,11619,9.42988530307168,312,19703,12.9736215026195
"PITG_00063",1520,78542,12.8890244625254,1520,94869,8.39702406093581
"PITG_00064",1572,83932,15.2440911276095,1572,101769,15.7563308867519
"PITG_00065",2385,150650,16.3358673592658,2385,202539,16.1172754030459
"PITG_00066",3837,212712,13.0869002356822,3837,271191,15.4148731335781
"PITG_00067",2386,126830,14.1011916720869,2386,172115,18.5114987723849
"PITG_00068",888,52898,12.4300827572442,888,65747,12.2167396060267
"PITG_00069",1759,108766,13.4631238441442,1759,118170,12.2286677000786
"PITG_00070",2152,134630,15.1506635702944,2152,164692,15.1415465742841
"PITG_00071",1030,65710,17.5986235123563,1030,71782,9.030765973668
"PITG_00072",5134,300531,15.0713125948977,5143,362620,14.7097909840323
"PITG_00073",1539,104110,14.452269322211,1539,117042,12.6547648469403
"PITG_00074",1263,70081,13.4184618598141,1263,92892,13.6621202740954
"PITG_00075",4353,266593,12.7720746690573,4353,343944,15.290134128208
"PITG_00076",680,36203,9.17975681116821,680,42658,7.84151636128633
"PITG_00077",4536,290094,14.7077841503989,4536,348468,18.0131490137057
"PITG_00078",2754,181089,14.6886510231154,2754,234315,17.3783208681336
"PITG_00079",1155,68187,12.6264307227576,1155,85866,14.1311702546369
"PITG_00080",1285,83337,16.1747778478736,1285,83122,9.5860024052285
"PITG_00081",2507,169155,13.5664974620339,2507,209770,12.9084055734189
"PITG_00082",2168,131613,13.3025045368828,2168,158433,13.0005116172623
"PITG_00083",957,54255,16.2141035852754,957,71786,19.2604064563885
"PITG_00084",1606,63422,15.0856611150288,1605,90477,14.9143924255273
"PITG_00088",1340,35129,14.6834984447142,1347,66282,19.5767854527669
"PITG_00089",955,26193,5.56453393282084,955,38937,11.648783987842
"PITG_00090",980,19853,8.33869873066623,980,37401,12.5844461126912
"PITG_00093",681,14431,12.4971258886447,719,22105,13.6256753274878
"PITG_00094",3640,91066,18.9737727023999,4112,151019,28.0069431314284
"PITG_00095",1680,62964,20.1459716040456,1651,86010,26.8778940829519
"PITG_00096",808,43437,32.9156295284638,797,80789,56.908230606805
"PITG_00097",7960,481493,24.8981921229515,7932,665934,32.6557660630624
"PITG_00098",3495,161774,31.2396044480024,3426,239439,48.4871802702128
"PITG_00099",1119,39413,20.4705152303633,1146,62674,39.5640369772949
"PITG_00100",727,14017,14.1374394239209,765,18324,17.980527379396
"PITG_00101",6795,369305,33.6014083980003,6796,554783,44.7044902893841
"PITG_00102",847,66546,42.8207266972614,847,99440,46.7606160976501
"PITG_00103",1255,35845,22.2698731221423,1114,55421,37.8436881359562
"PITG_00104",2287,80048,22.2187471187277,2289,167596,49.1395786891858
"PITG_00106",1024,19523,12.6376649906165,1035,25465,16.8166419261241
"PITG_00107",1235,40528,28.6168374868304,1240,44141,24.8783349895009
"PITG_00108",1037,56745,22.2150967111802,1037,65963,14.0432600861822
"PITG_00109",1557,99742,14.5504689670786,1557,122399,10.7886238344486
"PITG_00110",823,46080,11.2717981430113,823,53858,14.6592642729985
"PITG_00111",2142,93650,20.5985068063223,2099,107716,24.6101300392332
"PITG_00112",546,16775,12.7523313891002,548,22321,13.1710423823395
"PITG_00113",782,38607,19.1751878880118,782,48014,14.0469087545626
"PITG_00114",811,14822,4.5251192880854,811,32299,10.204845485488
"PITG_00115",1413,50498,12.2935389748222,1369,71177,22.2969663340566
"PITG_00116",2368,135914,14.2688952137041,2368,158152,13.7962836991628
"PITG_00117",1905,116087,14.3689874311687,1905,145296,11.8899945816079
"PITG_00118",624,28763,13.9366499214942,624,29012,9.33073197362794
"PITG_00119",1089,57700,12.312742033263,1089,67187,13.4856402734757
"PITG_00121",1146,72450,13.5637130335097,1146,89961,9.20605932982617
"PITG_00122",864,51434,9.27894098278378,864,58367,11.4034535277877
"PITG_00123",452,22516,15.9432318449333,453,27849,9.14448992932435
"PITG_00124",1093,68470,16.6365080921263,1093,73115,13.1045279528066
"PITG_00125",1671,82993,14.8206308166822,1671,96272,15.8004445424599
"PITG_00126",237,21764,20.7069186162774,237,15438,18.3160119196583
"PITG_00127",1259,69603,18.7338950813347,1259,85963,19.5896931095083
"PITG_00128",675,42976,16.4988833893008,675,45310,13.5566892122696
"PITG_00129",1517,93998,15.4274182121518,1517,111427,16.485897569407
"PITG_00130",987,48555,13.7314377917806,987,65801,17.6428104804741
"PITG_00131",1782,90087,22.3537665034077,1785,100361,18.988386163236
"PITG_00132",1321,72175,14.4304388590303,1321,82870,14.8390014035499
"PITG_00133",11706,848305,19.9235192188667,11704,952947,19.1073735568474
"PITG_00134",1502,95875,16.3298850579432,1502,118462,16.6889963915322
"PITG_00135",945,58346,19.1816417502506,945,65097,13.2506658428341
"PITG_00136",988,69425,11.0743056329987,988,68968,11.3916502002481
"PITG_00137",867,39512,18.8278985961176,868,43521,13.3757744006529
"PITG_00138",525,34753,20.4580557856443,525,42485,24.2086569108924
"PITG_00139",544,38342,13.3358526286923,544,42013,10.6995015093198
"PITG_00140",5549,356483,17.1391313507385,5549,431874,18.5095409942329
"PITG_00141",5946,433300,16.3936815746016,5946,473834,15.2505119346982
"PITG_00142",870,57781,16.7281522233964,870,65132,11.2715205441253
"PITG_00143",973,64656,12.5986981036237,973,71151,9.27021775487009
"PITG_00144",1314,81443,11.8668843066681,1314,90929,10.0178196131516
"PITG_00145",711,53505,12.3219962702539,711,69554,13.9670827365761
"PITG_00146",1735,115688,18.4750241665387,1735,143638,22.6367097496215
"PITG_00147",891,43563,10.6440708064254,891,55975,12.114342045443
"PITG_00148",2652,161081,14.2599361741179,2652,203358,14.4699303003626
"PITG_00149",5349,387336,16.5165006982111,5349,416226,13.8821203389601
"PITG_00150",1395,65904,13.5225148178041,1395,82535,11.3028633277934
"PITG_00151",429,22964,15.8243044598359,429,26202,14.5927953624976
"PITG_00152",4503,294130,14.673355176474,4503,331509,12.3025439758988
"PITG_00153",1494,82465,16.9941235329007,1494,106898,23.6127715771225
"PITG_00154",2106,134672,13.47837264162,2106,147601,17.3681315167929
"PITG_00155",1187,84742,10.7668390053473,1187,84354,10.7120050954946
"PITG_00156",1747,116648,18.5926206266512,1747,122405,15.4912943419633
"PITG_00157",375,21128,8.71293668042802,375,25472,5.79366917380891
"PITG_00158",551,38237,15.5694193005671,551,39174,13.0484343885924
"PITG_00159",2676,173817,14.2657991958489,2676,190525,12.185703675589
"PITG_00160",8298,567622,14.4049422813226,8298,611451,12.5092118357131
"PITG_00162",454,46629,34.003766751642,454,48539,24.3718276264568
"PITG_00163",1555,115062,18.6964500660515,1555,124984,15.2847841875296
"PITG_00164",1426,81457,18.4704510121307,1426,93217,14.3493318905644
"PITG_00165",1289,90443,15.8375831349331,1289,95106,14.4884077043789
"PITG_00166",1163,85371,14.2893157322888,1163,92241,11.5651292729663
"PITG_00167",1805,115991,13.6156477168305,1805,141167,9.33914639064221
"PITG_00169",2737,190372,12.8647936100373,2737,203405,12.4153031196502
"PITG_00170",1963,139915,16.9298840286579,1963,133874,17.184293918287
"PITG_00171",1383,86075,20.9927755238104,1383,101427,15.5706138868586
"PITG_00172",933,49230,13.5353453549986,933,65334,12.022037286227
"PITG_00173",848,67693,14.7234048828512,848,66936,10.3533955946152
"PITG_00174",348,28879,25.8046824694929,348,30460,13.9044405076913
"PITG_00175",1993,124124,13.7966399785742,1993,131182,10.9959468946036
"PITG_00176",1741,123224,15.9205458106479,1741,126130,12.3453266191296
"PITG_00177",1194,73844,13.8729610583202,1194,80388,12.4661020023387
"PITG_00178",1885,120071,14.3776639459303,1885,136233,11.3032271803808
"PITG_00179",958,57749,11.1236738421334,958,70002,19.3163504105874
"PITG_00180",1967,118724,12.5139197078669,1967,152942,14.6081560533214
"PITG_00181",933,75973,17.0880862980191,933,72817,12.3104084777583
"PITG_00182",354,19310,9.77910178763157,354,21714,7.90799108764071
"PITG_00183",2133,147356,20.3879353376717,2133,157117,16.4046019085873
"PITG_00184",1008,68582,12.0062284175596,1008,68081,7.87226299539019
"PITG_00185",3986,273487,13.415122801655,3986,296029,12.4053298115504
"PITG_00186",1618,88145,18.6056577501602,1618,99734,15.7036298514647
"PITG_00187",1771,121725,15.8858060527076,1771,129624,16.8481309063252
"PITG_00188",3667,272416,18.5000902864121,3667,313730,15.0123760334457
"PITG_00189",1889,136478,16.2932777650292,1889,141612,12.0405586405813
"PITG_00190",1683,120888,11.5760093818639,1683,117660,11.2966335892376
"PITG_00191",1047,59327,14.5187838401703,1047,77193,14.0505581635364
"PITG_00192",2269,173043,16.6532865368872,2269,183125,14.9940271336805
"PITG_00193",2741,199552,12.173985382972,2741,225865,12.4190685750981
"PITG_00194",1305,79966,24.2705724697581,1305,92395,20.8205191534041
"PITG_00195",551,40533,19.375455276183,552,38193,14.9426231387686
"PITG_00196",805,54913,20.1930305793268,805,58237,14.3990604167645
"PITG_00197",2757,187887,12.8505946582326,2757,191466,12.9632668938289
"PITG_00198",472,22274,16.1961725828494,472,33840,22.2427290916612
"PITG_00200",592,40804,12.3161079048981,592,44473,10.9491980491794
"PITG_00201",1859,117703,11.6083671055883,1859,136058,15.0377481121532
"PITG_00202",989,64238,13.1077273632885,989,67264,15.4806871453527
"PITG_00203",1470,85391,18.3847268027625,1470,108853,18.395092407025
"PITG_00204",3202,226244,15.5744073112486,3202,227814,10.1767022258123
"PITG_00205",736,42874,11.8823595634964,736,44114,11.9025021664829
"PITG_00206",1726,113710,13.5839507534237,1726,138859,18.4814111377768
"PITG_00207",1220,77521,20.1473828807218,1220,86316,15.3808167379938
"PITG_00208",2334,157293,15.1255963707074,2334,157650,13.6129646285907
"PITG_00209",1943,126606,13.3290994546589,1943,142929,13.2689932056436
"PITG_00210",1659,124543,14.9611399928852,1659,126954,15.1469632387832
"PITG_00211",945,70800,13.0759291572439,945,76042,22.4398741274639
"PITG_00212",1458,84203,21.9268393653985,1458,97108,22.0667991535399
"PITG_00213",1007,59204,19.1278429621118,1007,61287,15.7298432425648
"PITG_00214",891,50386,17.391607413457,891,60864,9.9615274002853
"PITG_00215",3470,241942,17.0587433565772,3470,256066,14.0105701225503
"PITG_00216",685,36307,12.1458000682993,685,45029,13.6882143848194
"PITG_00217",1879,127955,14.0620331369087,1879,139241,11.7693660942209
"PITG_00218",14365,947845,20.6622344491381,14364,959161,19.6428226199683
"PITG_00219",1188,79680,15.3503883802819,1188,87079,13.5247571162998
"PITG_00220",960,69024,17.5716735742561,960,69604,10.3657806800409
"PITG_00221",1147,72653,14.8458639636081,1147,82987,11.5966763234091
"PITG_00222",512,31563,9.34456880170374,512,34191,5.03414185740329
"PITG_00223",3231,233369,18.396079878124,3231,248106,14.3992116354226
"PITG_00224",3393,245210,12.2386810961327,3393,254208,11.3663790339636
"PITG_00225",1725,129604,15.5684365869277,1725,132012,14.3648964203631
"PITG_00226",3531,241469,17.3719712690805,3531,254704,15.2061463108092
"PITG_00227",2079,139667,15.4280396642283,2079,156510,10.827468135373
"PITG_00228",3557,259248,16.4401208103245,3557,271055,14.6630704886765
"PITG_00229",1485,99632,14.5566178052831,1485,105883,13.8691139573426
"PITG_00230",1174,82605,13.4120591122282,1174,81323,14.8430666629979
"PITG_00231",2157,144095,13.1820184245903,2157,161675,11.509723322108
"PITG_00232",691,40033,16.0637348998955,691,52307,15.2186853979895
"PITG_00233",1776,116088,18.9076565096247,1776,126021,16.188951766782
"PITG_00234",2020,90572,14.575497983027,2020,109799,15.2142219692694
"PITG_00235",307,14468,11.4295291222442,307,23473,14.6758261330462
"PITG_00236",1197,69627,13.3126554859355,1197,81096,13.3995336373094
"PITG_00237",1345,92656,14.1552429522045,1345,92581,11.8968375156949
"PITG_00238",1030,58430,9.78058028565511,1030,61733,11.8202705825574
"PITG_00240",888,57522,10.7091217664856,888,63603,7.89317952262108
"PITG_00241",524,37684,15.4486941748626,524,35212,12.4116270951243
"PITG_00244",2329,158233,16.4790127924515,2329,159758,14.6797600129385
"PITG_00245",1191,80276,16.5926062891165,1191,92589,12.8199172519995
"PITG_00246",1439,182131,48.0950652701417,1441,106583,26.9553176852264
"PITG_00247",1460,114718,51.2520836973391,1457,70600,28.9485728979279
"PITG_00248",702,44034,14.376905675556,702,41730,10.3627042591463
"PITG_00249",852,50996,14.0986933019391,852,56924,8.72803289564996
"PITG_00250",1791,119227,17.5298142821217,1791,128688,12.1759696808423
"PITG_00251",1831,135170,12.8451191511844,1831,151101,16.5044573636319
"PITG_00252",1134,61742,11.6287155113475,1134,76172,11.7175802504733
"PITG_00253",4194,291227,15.0473525087122,4194,311512,14.1023596929392
"PITG_00254",2165,103991,20.9930746391905,2165,123205,20.2963433811096
"PITG_00255",438,26866,14.2563961210607,438,28957,9.60090554758927
"PITG_00256",1551,99128,10.1420897124695,1551,113137,12.2834594124696
"PITG_00257",2512,164998,18.5518210378684,2512,187621,15.4752075351251
"PITG_00258",374,23588,8.42474850872746,374,27304,8.48464775143825
"PITG_00259",849,49816,10.3086749405398,849,56709,10.9842478993084
"PITG_00260",842,52626,13.3469435555075,842,61363,10.0733575823359
"PITG_00261",765,40900,15.328269294947,765,46580,16.2414518618432
"PITG_00262",2904,208378,18.2135154005725,2904,230202,13.6795325527365
"PITG_00263",4408,306336,18.750810642825,4408,343579,17.5507781103554
"PITG_00264",1020,67187,11.7104273943243,1020,90255,14.2382909700069
"PITG_00265",1130,75246,16.9908398331031,1130,79902,11.1918131267101
"PITG_00266",596,29244,22.4172545877988,596,31152,19.2608387899004
"PITG_00267",449,39946,15.7564115979143,449,31939,8.12678307119264
"PITG_00268",303,16135,8.19403297951031,303,19843,11.1965743299021
"PITG_00269",2585,153372,18.8661867709303,2585,172794,17.9965467381525
"PITG_00270",3139,219096,13.0737227604741,3139,237202,12.9280875323272
"PITG_00271",1164,80374,13.7036284418617,1164,88440,9.31042487274097
"PITG_00272",1338,86771,14.0982078153619,1338,102699,15.1581807450665
"PITG_00273",2828,212635,16.6012110495454,2828,241121,13.7845214613138
"PITG_00274",4424,305184,20.520707618178,4424,334488,17.817148385173
"PITG_00275",1541,110436,18.3751139799185,1549,120947,14.8085742510273
"PITG_00276",604,39242,11.2005288592384,604,49683,18.5961364552224
"PITG_00279",4051,198117,26.8982719086808,3945,211741,33.2931025826093
"PITG_00280",1521,89837,12.3335679553242,1521,109248,16.598116917503
"PITG_00281",1781,137973,17.3494743348331,1781,141519,15.4639933228835
"PITG_00282",678,45936,13.6848022789591,678,55961,12.0923638239426
"PITG_00283",1065,61909,11.1680119450364,1065,74867,12.3459166536262
"PITG_00284",5424,380960,15.3368348028802,5424,427709,13.6864927171627
"PITG_00286",1946,130876,13.5251569106371,1946,150642,13.7843680371417
"PITG_00287",1335,92611,14.9933948063851,1335,105308,18.9420036557895
"PITG_00288",854,57511,11.8092733962084,854,53469,9.45286036316354
"PITG_00289",2350,169766,16.167646588488,2350,188351,14.3248597430914
"PITG_00290",504,33800,14.0660164791029,504,43308,9.28020066574416
"PITG_00291",1522,113900,22.7052539574481,1522,116339,19.932111842426
"PITG_00292",493,35623,14.9994772250135,493,37659,11.2393582937135
"PITG_00293",378,23827,14.0565882596549,378,25783,17.7440160210985
"PITG_00294",1017,73125,14.6406215053478,1017,75581,12.4601101688232
"PITG_00295",1460,105519,21.8010186175234,1460,111680,14.0216940383771
"PITG_00296",1296,101469,17.730783671857,1296,88076,14.9378096521821
"PITG_00297",1760,176232,32.7462153677435,1760,173333,19.317337145181
"PITG_00298",1380,83339,11.9904626571531,1380,99399,16.0080630931044
"PITG_00299",4859,337169,16.387688121134,4859,370866,18.7459831307675
"PITG_00300",1953,112180,15.3203210209172,1951,132143,18.5078684789496
"PITG_00301",2787,198299,16.0969570133718,2787,207191,14.4208253368303
"PITG_00302",2017,134382,14.2816220156008,2017,153555,14.0897193712158
"PITG_00303",642,44288,10.3756167598014,642,41277,10.1584452092224
"PITG_00304",1817,112808,13.654825753683,1817,118740,12.3978442865427
"PITG_00305",2230,150907,16.7047845386328,2230,163190,12.7048888108245
"PITG_00306",2675,185407,14.6170998063982,2676,200126,13.5503336846039
"PITG_00307",735,50573,13.2424759361229,735,61032,15.2457618251246
"PITG_00308",2420,161598,14.3504044926212,2420,176111,12.755442128724
"PITG_00309",1417,92707,11.6080725609377,1417,100443,9.8890390105662
"PITG_00310",2886,199111,17.8511350167696,2886,213705,12.1387431535221
"PITG_00311",728,50522,15.0096016047344,728,52648,15.3291294269346
"PITG_00312",411,28230,22.5667849460708,411,22429,7.87348632040321
"PITG_00313",1989,129485,17.1968700270775,1989,138964,13.5363811582571
"PITG_00314",853,59016,21.7367779208181,853,67684,15.009370691294
"PITG_00315",4152,298410,17.8733554402262,4152,330317,18.1476380875248
"PITG_00319",744,48995,11.680414115452,744,52319,8.89555247973606
"PITG_00320",1593,77704,12.9946543210424,1593,82912,13.6650614104837
"PITG_00321",1365,77012,12.1914801497548,1365,99704,10.9003904331877
"PITG_00322",1616,111882,16.6494281028079,1616,117722,11.6286331778615
"PITG_00323",3543,260903,13.9176136153895,3543,262840,14.8709467936474
"PITG_00324",2144,144731,14.6604426408064,2144,150157,13.7925134495257
"PITG_00327",579,35485,21.1305223571333,579,38697,20.5596475010155
"PITG_00328",1449,101020,23.9474561354159,1449,111289,18.1262518482529
"PITG_00329",1593,84695,14.0323921564862,1593,99018,12.1956448584455
"PITG_00330",3714,238409,17.4466376667543,3714,290040,13.222732921831
"PITG_00331",2787,200385,37.0647319415752,2787,197306,23.6285414976785
"PITG_00332",2071,147666,13.5321835627398,2071,157461,15.9106041253679
"PITG_00333",3720,236348,16.8114641906381,3720,270023,18.0831038081655
"PITG_00334",3697,220406,19.8375926540021,3697,257214,18.0865984777714
"PITG_00335",556,26857,13.1620277809402,556,35031,12.997503836094
"PITG_00336",3015,210879,15.168040186405,3015,230241,12.5949735511305
"PITG_00337",1521,103347,17.4716440642992,1521,107383,13.216291777645
"PITG_00338",978,66148,16.3700932185359,978,66568,13.5409387931236
"PITG_00339",2766,184428,12.9822670805328,2766,180992,15.6333169497121
"PITG_00340",874,55918,23.8583935557096,874,82055,40.3753768029014
"PITG_00341",2056,139194,18.9589213531345,2056,145161,18.0884543752776
"PITG_00342",1537,105027,18.8265297552841,1537,115667,16.753381643682
"PITG_00343",2037,131951,12.8408119235364,2037,157265,14.717260686947
"PITG_00347",1911,124552,14.9632983965198,1911,138565,13.1192993552461
"PITG_00348",4175,256523,13.9087312759384,4175,317736,13.2427708355163
"PITG_00349",1615,105278,11.1074551117467,1615,110802,12.7816690145708
"PITG_00350",1472,77489,9.14979672007901,1472,78648,9.90699963957507
"PITG_00351",2181,148259,19.8766828856368,2181,160354,14.8458451960724
"PITG_00352",1277,81483,13.2285194457015,1277,85601,14.2701383476803
"PITG_00353",1080,68345,20.59811993141,1080,69468,14.7322682619936
"PITG_00354",863,56897,13.9556260763907,863,67438,16.6446476658146
"PITG_00357",639,41047,15.8613367229661,639,42281,7.68452042363204
"PITG_00358",700,64682,18.723818890064,700,70541,18.1116740972824
"PITG_00359",817,43770,14.6780719590016,817,52780,8.37507067824082
"PITG_00360",2863,172897,13.5816139827767,2863,178660,12.6701811982817
"PITG_00361",1984,153082,16.6789914757836,1984,156026,15.2828091277571
"PITG_00362",1377,85161,12.8319882216524,1377,94979,10.5666200679882
"PITG_00363",3976,255702,17.0974603738231,3976,281614,14.5930199313795
"PITG_00364",1683,121532,14.0567199998962,1683,118930,10.6623863619271
"PITG_00366",390,22376,11.7887733171543,390,25846,11.9675213584201
"PITG_00368",1781,90681,17.7245365171008,1781,116717,17.1113197032001
"PITG_00369",2439,155799,15.9426118313488,2439,185792,17.9168722848856
"PITG_00370",964,57156,10.6467235780899,964,64695,11.3787400567602
"PITG_00372",534,13804,6.04703499535388,534,17040,7.49730225317959
"PITG_00373",1133,27575,7.29353811791658,1133,41460,8.57689322772529
"PITG_00375",3072,222646,22.7228872540553,3072,227428,19.0523174271802
"PITG_00377",1021,74909,32.910507467914,1021,87993,22.5550905137442
"PITG_00378",1492,95937,15.3999198366987,1492,99184,12.9410836749014
"PITG_00379",630,38552,16.046948934808,630,41966,13.8614251494715
"PITG_00380",1905,144160,22.8628792476171,1905,152445,16.6229493745092
"PITG_00381",1348,69377,13.6551411132557,1348,82932,9.11977270292912
"PITG_00382",756,24144,9.21192377179818,756,30254,8.91324936407294
"PITG_00383",1121,62828,19.7982139316182,1121,77217,16.8032324891633
"PITG_00384",1209,71208,13.0090546138955,1209,79227,12.1276013406886
"PITG_00385",3214,179637,17.0226733705671,3211,217476,14.3152859151181
"PITG_00386",1724,123025,16.7699484961132,1724,118117,12.7959269935239
"PITG_00388",2188,137759,17.6075141125176,2188,161225,17.9941220404129
"PITG_00389",1735,105694,14.3711219875188,1735,118413,13.0820526744661
"PITG_00390",1591,93841,14.1800530294171,1591,106503,12.6957737300217
"PITG_00391",2680,132410,15.1874277477069,2680,157792,13.5525997075856
"PITG_00392",907,49736,12.1570173687718,904,53442,10.9629841833348
"PITG_00393",880,53691,11.6612629692791,880,53113,9.48549408000849
"PITG_00394",969,75495,22.7540112905034,969,78225,14.1568134131914
"PITG_00395",1217,75778,17.0963730665312,1217,91534,19.2408103499246
"PITG_00396",2059,114290,14.4195538824094,2059,130323,14.5146895117024
"PITG_00397",3030,207415,23.9728375464972,3030,217963,17.0295045438199
"PITG_00398",1621,108448,18.1422602630317,1621,125033,13.5696469964823
"PITG_00399",989,67671,19.0403228193917,989,71091,12.9232849646496
"PITG_00400",796,39821,12.4467391592331,796,44053,13.018485676605
"PITG_00401",1127,79831,14.10658811399,1127,81774,11.8685752401027
"PITG_00402",1268,88023,15.962926496136,1268,98161,15.2560267989655
"PITG_00403",1110,96895,21.9283578632192,1110,94561,19.8312286403977
"PITG_00404",1637,107396,12.5723109597704,1637,114645,12.1757492780266
"PITG_00405",348,22896,11.6142493530739,348,24590,10.8929806478339
"PITG_00406",1597,112630,15.6526393950794,1597,133437,14.4805732764709
"PITG_00407",2738,186991,16.980066805299,2738,181559,15.6833446676232
"PITG_00408",3475,244520,16.3839392280142,3475,297428,15.0775590844742
"PITG_00409",853,51015,22.1249939188777,853,59474,15.5700260426129
"PITG_00410",1269,79363,12.1922442750595,1269,83326,8.08295159209517
"PITG_00411",762,52800,17.0878276536839,762,50955,9.00489995065218
"PITG_00412",1289,86655,17.3503775130075,1289,98433,16.1634305469224
"PITG_00413",1959,139205,21.6938623234164,1959,147801,18.2389412921036
"PITG_00414",1169,61935,12.7482064938844,1169,74624,11.8705368453041
"PITG_00415",3283,259411,16.2877004827708,3283,270115,12.5400918940283
"PITG_00416",2172,144843,16.6333296846996,2172,157706,13.9428880033836
"PITG_00417",3525,134247,9.8094208721136,3498,150848,17.0132907141351
"PITG_00418",737,28493,21.6636591094456,712,29622,25.7624663901378
"PITG_00419",964,23928,8.24301908639614,935,12157,7.4864448945318
"PITG_00420",489,23057,9.49490821656359,489,25713,16.3277707528375
"PITG_00421",5340,271700,25.5366652788204,5327,293659,25.2087623524223
"PITG_00422",1176,47403,16.563044008713,1166,58280,23.9846416821036
"PITG_00423",781,50740,13.5698666803684,781,49018,12.3625353167395
"PITG_00424",1020,70533,17.1187060882365,1020,74979,10.6841954297272
"PITG_00425",2066,115592,21.0125843161429,2066,130810,18.056733810515
"PITG_00426",2286,144868,14.8391513873919,2286,170958,10.9907880710554
"PITG_00427",961,59115,12.2454949349495,961,70192,14.2854608953792
"PITG_00430",2326,146268,13.8019580758493,2326,163716,12.6211096635121
"PITG_00431",1687,103629,16.6138010811052,1687,159529,27.8431560773073
"PITG_00432",294,17817,7.43261853901108,294,46916,19.7369822031021
"PITG_00433",1306,97729,13.123860362225,1306,49333,8.42575713652204
"PITG_00436",552,27430,14.4145044998911,552,31304,13.2857484871806
