"X00Ip5_allele1","X00M_410_allele1","CBS.678.85_allele1","Ipom_1.2_allele1","Ipom_2.4_allele1","P3001_allele1","PIC97136_allele1","PIC97146_allele1","PIC97335_allele1","PIC97442_allele1","PIC97750_allele1","PIC97785_allele1","PIC99114_allele1","PIC99167_allele1","Pipo5_allele1","Pmir5_allele1"
"PITG_00142",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00143",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00144",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00145",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00146",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00147",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00148",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00149",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00150",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00151",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00152",2,4,2,2,2,2,2,3,2,3,2,2,3,2,3,2
"PITG_00153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PITG_00154",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00155",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00156",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00157",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00158",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00159",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00160",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00162",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00163",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00164",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00165",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00166",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00167",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00169",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00170",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00171",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00172",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00173",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00174",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00175",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00176",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00177",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00178",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00179",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00180",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00181",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00182",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00183",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00184",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00185",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00186",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00187",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00188",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00189",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00190",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00191",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00192",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00193",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00194",2,3,5,2,5,2,2,3,5,3,2,2,3,5,3,2
"PITG_00195",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00196",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00197",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00198",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00200",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00201",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00202",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00203",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00204",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00205",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00206",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00207",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00208",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00209",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00210",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00211",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00212",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00213",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00214",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00215",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00216",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00217",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00218",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00219",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00220",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00221",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00222",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00223",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00224",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00225",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00226",5,5,5,3,5,2,4,4,5,2,2,3,5,5,3,2
"PITG_00227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PITG_00228",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00229",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00230",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00231",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00232",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00233",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00234",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00235",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00236",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00237",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00238",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00240",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00241",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00244",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00245",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00246",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00247",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00248",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00249",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00250",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00251",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00252",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00253",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00254",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00255",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00256",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00257",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00258",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00259",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00260",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00261",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00262",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00263",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00264",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00265",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00266",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00267",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00268",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00269",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00270",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00271",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00272",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00273",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00274",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00275",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00276",2,5,4,2,5,2,3,3,2,2,2,2,3,3,4,2
"PITG_00279",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00280",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00281",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00282",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00283",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00284",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00286",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00287",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00288",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00289",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00290",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00291",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00292",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00293",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00294",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00295",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00296",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00297",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00298",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00299",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00300",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00301",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00302",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00303",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00304",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00305",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00306",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00307",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00308",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00309",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00310",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00311",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00312",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00313",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00314",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00315",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00319",2,5,3,5,5,2,2,2,2,3,2,2,3,5,4,2
"PITG_00320",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00321",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00322",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00323",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00324",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00327",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00328",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00329",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00330",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00331",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00332",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00333",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00334",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00335",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00336",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00337",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00338",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00339",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00340",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00341",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00342",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00343",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00347",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00348",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00349",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00350",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00351",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00352",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00353",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00354",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00357",2,4,5,5,5,2,2,2,2,2,2,3,2,4,4,2
"PITG_00358",2,4,3,4,5,2,2,2,3,3,3,2,3,4,3,2
"PITG_00359",2,4,3,4,5,2,2,2,3,3,3,2,3,4,3,2
"PITG_00360",2,4,3,4,5,2,2,2,3,3,3,2,3,4,3,2
"PITG_00361",2,4,3,4,5,2,2,2,3,3,3,2,3,4,3,2
"PITG_00362",2,4,3,4,5,2,2,2,3,3,3,2,3,4,3,2
"PITG_00363",2,4,3,4,5,2,2,2,3,3,3,2,3,4,3,2
"PITG_00364",2,4,3,4,5,2,2,2,3,3,3,2,3,4,3,2
"PITG_00366",2,4,3,4,5,2,2,2,3,3,3,2,3,4,3,2
"PITG_00368",2,4,3,4,5,2,2,2,3,3,3,2,3,4,3,2
"PITG_00369",2,4,3,4,5,2,2,2,3,3,3,2,3,4,3,2
"PITG_00370",2,4,3,4,5,2,2,2,3,3,3,2,3,4,3,2
"PITG_00372",2,4,3,4,5,2,2,2,3,3,3,2,3,4,3,2
"PITG_00373",2,4,3,4,5,2,2,2,3,3,3,2,3,4,3,2
"PITG_00375",2,4,3,4,5,2,2,2,3,3,3,2,3,4,3,2
"PITG_00377",2,4,3,4,5,2,2,2,3,3,3,2,3,4,3,2
